Date : 2024-07-27 23:08:51
Directory : /Users/jamesweigand/Documents/msfl
Total : 203 files,  53540 codes, 1527 comments, 2668 blanks, all 57735 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         38 |     43,558 |          0 |         36 |     43,594 |
| C++                |         42 |      6,234 |      1,242 |      1,711 |      9,187 |
| CMake              |         65 |      1,007 |          0 |        325 |      1,332 |
| C                  |          1 |        682 |         61 |        153 |        896 |
| Makefile           |          1 |        596 |        213 |        235 |      1,044 |
| YAML               |          1 |        416 |          4 |         30 |        450 |
| XML                |         11 |        374 |          0 |         11 |        385 |
| CMake Cache        |          1 |        354 |          0 |         84 |        438 |
| JavaScript         |          1 |        151 |          7 |         43 |        201 |
| JSON with Comments |          1 |         70 |          0 |          0 |         70 |
| TypeScript         |         29 |         58 |          0 |         29 |         87 |
| Log                |         11 |         33 |          0 |         11 |         44 |
| HTML               |          1 |          7 |          0 |          0 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        203 |     53,540 |      1,527 |      2,668 |     57,735 |
| . (Files)                                                                                                                 |          2 |         74 |          0 |          2 |         76 |
| build                                                                                                                     |        158 |      9,518 |        340 |      1,063 |     10,921 |
| build (Files)                                                                                                             |          5 |      1,108 |        213 |        328 |      1,649 |
| build/.cmake                                                                                                              |         36 |      5,221 |          0 |         35 |      5,256 |
| build/.cmake/api                                                                                                          |         36 |      5,221 |          0 |         35 |      5,256 |
| build/.cmake/api/v1                                                                                                       |         36 |      5,221 |          0 |         35 |      5,256 |
| build/.cmake/api/v1/query                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                   |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                 |         35 |      5,220 |          0 |         35 |      5,255 |
| build/CMakeFiles                                                                                                          |         95 |      2,782 |        127 |        678 |      3,587 |
| build/CMakeFiles (Files)                                                                                                  |          3 |        507 |          4 |         41 |        552 |
| build/CMakeFiles/3.29.3                                                                                                   |          5 |      1,495 |        123 |        347 |      1,965 |
| build/CMakeFiles/3.29.3 (Files)                                                                                           |          3 |        146 |          0 |         44 |        190 |
| build/CMakeFiles/3.29.3/CompilerIdC                                                                                       |          1 |        682 |         61 |        153 |        896 |
| build/CMakeFiles/3.29.3/CompilerIdCXX                                                                                     |          1 |        667 |         62 |        150 |        879 |
| build/CMakeFiles/Continuous.dir                                                                                           |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousBuild.dir                                                                                      |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousConfigure.dir                                                                                  |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousCoverage.dir                                                                                   |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousMemCheck.dir                                                                                   |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousStart.dir                                                                                      |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousSubmit.dir                                                                                     |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousTest.dir                                                                                       |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ContinuousUpdate.dir                                                                                     |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/Experimental.dir                                                                                         |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ExperimentalBuild.dir                                                                                    |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ExperimentalConfigure.dir                                                                                |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ExperimentalCoverage.dir                                                                                 |          3 |         25 |          0 |         10 |         35 |
| build/CMakeFiles/ExperimentalMemCheck.dir                                                                                 |          3 |         25 |          0 |         10 |         35 |
